player_id,fixture_id,gameweek,kickoff_time,was_home,opponent_team_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,total_points,value,selected,transfers_in,transfers_out,transfers_balance
151,8,1,2025-08-10T14:45:00Z,True,9,Heracles Almelo,4,0,False,90,0,0,1,0,0,0,0,0,0,0,0,6,55,9314,0,0,0
151,18,2,2025-08-17T12:30:00Z,False,15,Sparta Rotterdam,2,1,False,90,0,0,0,2,0,0,0,0,0,0,0,1,55,10315,237,297,-60
151,24,3,2025-08-24T12:30:00Z,True,18,Excelsior,4,1,False,45,0,0,0,1,0,0,0,0,0,0,0,1,55,10689,292,379,-87
151,34,4,2025-08-31T12:30:00Z,False,12,PEC Zwolle,0,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,55,10392,68,410,-342
151,42,5,2025-09-14T12:30:00Z,True,3,FC Groningen,0,1,False,75,0,0,0,1,0,0,0,0,0,0,0,2,55,9886,64,633,-569
151,49,6,2025-09-20T18:00:00Z,False,7,Fortuna Sittard,1,0,False,87,0,0,0,1,0,0,0,0,0,0,0,2,55,9707,27,246,-219
151,60,7,2025-09-28T12:30:00Z,True,14,sc Heerenveen,2,2,False,45,0,1,0,1,0,0,0,0,0,0,0,4,55,9496,13,254,-241
151,71,8,2025-10-05T12:30:00Z,False,6,Feyenoord,3,2,False,90,0,0,0,3,0,0,0,0,0,0,0,1,54,9268,22,268,-246
151,74,9,2025-10-18T16:45:00Z,True,17,FC Volendam,3,1,False,90,0,0,0,1,0,0,0,0,0,0,0,2,54,9138,38,182,-144
151,87,10,2025-10-26T15:45:00Z,False,2,AZ,4,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,54,8988,12,167,-155
151,97,11,2025-11-02T15:45:00Z,True,10,N.E.C.,1,0,False,90,0,0,1,0,0,0,0,0,0,0,0,6,54,8755,11,246,-235
151,106,12,2025-11-09T11:15:00Z,True,1,Ajax,2,1,False,90,0,0,0,1,0,0,0,0,0,0,0,2,54,8643,11,138,-127
151,116,13,2025-11-23T13:30:00Z,False,16,Telstar,1,1,False,85,0,0,0,1,0,0,0,0,0,0,0,2,53,8614,47,100,-53
151,122,14,2025-11-30T13:30:00Z,False,8,Go Ahead Eagles,2,2,False,90,0,0,0,2,0,0,0,0,0,0,0,1,53,8554,18,79,-61
151,129,15,2025-12-07T11:15:00Z,True,4,FC Twente,1,1,False,90,0,0,0,1,0,0,0,1,0,0,0,1,53,8508,30,82,-52
151,140,16,2025-12-14T15:45:00Z,False,11,NAC Breda,1,1,False,90,0,0,0,1,0,0,0,0,0,0,0,2,53,8428,20,108,-88
151,146,17,2025-12-21T11:15:00Z,True,13,PSV,1,2,False,82,0,0,0,2,0,0,0,1,0,0,0,0,53,8340,8,99,-91
151,165,19,2026-01-18T13:30:00Z,False,17,FC Volendam,2,1,False,74,0,0,0,2,0,0,0,0,0,0,0,1,53,8117,10,105,-95
151,175,20,2026-01-25T15:45:00Z,True,15,Sparta Rotterdam,0,1,False,67,0,0,1,0,0,0,0,0,0,0,0,6,53,8062,16,70,-54
151,189,21,2026-02-01T15:45:00Z,False,14,sc Heerenveen,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,52,7994,5,78,-73
151,193,22,2026-02-08T11:15:00Z,True,6,Feyenoord,0,1,False,16,0,0,0,0,0,0,0,0,0,0,0,1,52,8020,41,74,-33
151,158,22,2026-02-11T20:00:00Z,False,10,N.E.C.,1,3,False,90,0,0,0,1,0,0,0,0,0,0,0,2,52,8020,41,74,-33
151,201,23,2026-02-14T20:00:00Z,False,3,FC Groningen,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,52,7873,4,90,-86
151,211,24,2026-02-22T13:30:00Z,True,12,PEC Zwolle,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,52,7849,5,35,-30
151,219,25,2026-03-01T15:45:00Z,True,2,AZ,2,0,False,90,0,0,1,0,0,0,0,0,0,0,1,7,52,7789,1,64,-63
151,230,26,2026-03-06T19:00:00Z,False,9,Heracles Almelo,0,0,False,90,0,0,1,0,0,0,0,1,0,0,0,5,52,7774,18,35,-17
151,237,27,2026-03-15T11:15:00Z,False,4,FC Twente,0,2,False,2,0,0,0,0,0,0,0,0,0,0,0,1,52,7760,11,27,-16
151,245,28,2026-03-22T13:30:00Z,True,8,Go Ahead Eagles,2,0,False,37,0,0,0,0,0,0,0,0,0,0,0,1,52,7732,3,32,-29
151,259,29,2026-04-04T14:30:00Z,False,13,PSV,4,3,False,0,0,0,0,0,0,0,0,0,0,0,0,0,52,7695,0,35,-35
151,265,30,2026-04-11T14:30:00Z,True,16,Telstar,4,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,52,7629,0,68,-68
151,271,31,2026-04-26T10:15:00Z,False,18,Excelsior,5,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,52,7564,0,67,-67
151,283,32,2026-05-02T14:30:00Z,True,11,NAC Breda,2,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,52,7496,0,67,-67
151,289,33,2026-05-10T14:45:00Z,False,1,Ajax,1,2,False,24,0,0,0,1,0,0,0,0,0,0,0,1,52,7486,1,13,-12
151,299,34,2026-05-17T12:30:00Z,True,7,Fortuna Sittard,2,0,False,26,0,0,0,0,0,0,0,0,0,0,0,1,52,7488,6,10,-4
