player_id,fixture_id,gameweek,kickoff_time,was_home,opponent_team_id,opponent_team_name,team_h_score,team_a_score,modified,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,total_points,value,selected,transfers_in,transfers_out,transfers_balance
188,5,1,2025-08-09T18:00:00Z,False,14,sc Heerenveen,1,1,False,90,0,0,0,1,0,0,0,0,0,0,0,2,50,2083,0,0,0
188,15,2,2025-08-17T14:45:00Z,True,2,AZ,2,2,False,79,0,0,0,2,0,0,0,0,0,0,0,2,50,2439,139,147,-8
188,21,3,2025-08-23T19:00:00Z,False,16,Telstar,2,2,False,90,0,0,0,2,0,0,0,0,0,0,0,2,50,2804,305,183,122
188,29,4,2025-08-30T14:30:00Z,True,1,Ajax,1,1,False,69,1,0,0,1,0,0,0,0,0,0,3,9,50,2453,36,341,-305
188,39,5,2025-09-13T17:10:00Z,False,8,Go Ahead Eagles,3,0,False,90,0,0,0,3,0,0,0,0,0,0,0,2,50,2624,237,165,72
188,48,6,2025-09-20T14:30:00Z,True,18,Excelsior,1,2,False,65,0,1,0,1,0,0,0,0,0,0,0,5,50,2765,204,104,100
188,59,7,2025-09-27T16:45:00Z,True,12,PEC Zwolle,2,1,False,81,1,0,0,1,0,0,0,0,0,0,1,7,50,2902,202,84,118
188,65,8,2025-10-04T16:45:00Z,False,7,Fortuna Sittard,1,0,False,90,0,0,0,1,0,0,0,0,0,0,0,2,50,3052,203,87,116
188,74,9,2025-10-18T16:45:00Z,False,5,FC Utrecht,3,1,False,90,0,1,0,3,0,0,0,0,0,0,0,5,50,3022,116,154,-38
188,83,10,2025-10-25T18:00:00Z,True,9,Heracles Almelo,3,0,False,90,0,0,1,0,0,0,0,0,0,0,0,2,50,3089,140,100,40
188,92,11,2025-11-01T19:00:00Z,False,6,Feyenoord,3,1,False,90,1,0,0,3,0,0,0,0,0,0,0,6,50,2975,70,171,-101
188,102,12,2025-11-08T17:45:00Z,True,11,NAC Breda,2,1,False,90,1,0,0,1,0,0,0,0,0,0,1,7,50,3092,187,91,96
188,111,13,2025-11-22T17:45:00Z,True,4,FC Twente,1,1,False,90,0,0,0,1,0,0,0,0,0,0,0,2,50,3311,253,68,185
188,125,14,2025-11-30T11:15:00Z,False,13,PSV,3,0,False,71,0,0,0,3,0,0,0,0,0,0,0,2,50,3288,70,95,-25
188,130,15,2025-12-07T13:30:00Z,True,10,N.E.C.,2,3,False,90,0,0,0,3,0,0,0,0,0,0,0,2,50,3251,66,111,-45
188,138,16,2025-12-13T17:45:00Z,False,3,FC Groningen,3,0,False,90,0,0,0,3,0,0,0,0,0,0,0,2,50,3119,35,172,-137
188,147,17,2025-12-21T15:45:00Z,True,15,Sparta Rotterdam,0,1,False,90,0,0,0,1,0,0,0,0,0,0,0,2,50,3014,22,133,-111
188,154,18,2026-01-10T15:30:00Z,False,2,AZ,1,0,False,45,0,0,0,1,0,0,0,0,0,0,0,1,50,2965,37,107,-70
188,165,19,2026-01-18T13:30:00Z,True,5,FC Utrecht,2,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2852,28,144,-116
188,172,20,2026-01-24T15:30:00Z,False,1,Ajax,2,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2714,4,141,-137
188,183,21,2026-02-01T19:00:00Z,True,8,Go Ahead Eagles,1,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,50,2634,5,91,-86
188,198,22,2026-02-07T17:45:00Z,False,12,PEC Zwolle,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2530,0,100,-100
188,202,23,2026-02-13T19:00:00Z,True,13,PSV,2,1,False,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2475,3,63,-60
188,215,24,2026-02-21T19:00:00Z,False,11,NAC Breda,1,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2436,3,42,-39
188,220,25,2026-03-01T13:30:00Z,True,3,FC Groningen,3,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2401,0,36,-36
188,231,26,2026-03-08T19:00:00Z,False,10,N.E.C.,3,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2383,1,19,-18
188,238,27,2026-03-14T15:30:00Z,True,7,Fortuna Sittard,1,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2362,1,22,-21
188,251,28,2026-03-21T17:45:00Z,False,15,Sparta Rotterdam,2,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,49,2341,0,21,-21
188,256,29,2026-04-05T12:30:00Z,True,6,Feyenoord,0,0,False,11,0,0,0,0,0,0,0,0,0,0,0,1,49,2326,1,16,-15
188,264,30,2026-04-10T18:00:00Z,False,4,FC Twente,2,1,False,18,0,0,0,0,0,0,0,0,0,0,0,1,49,2325,9,11,-2
188,275,31,2026-04-26T12:30:00Z,False,9,Heracles Almelo,0,2,False,61,0,0,1,0,0,0,0,0,0,0,0,2,49,2347,25,5,20
188,284,32,2026-05-03T10:15:00Z,True,14,sc Heerenveen,0,2,False,51,0,0,0,1,0,0,0,0,0,0,0,1,49,2352,12,12,0
188,290,33,2026-05-10T14:45:00Z,False,18,Excelsior,1,1,False,29,0,0,0,0,0,0,0,1,0,0,0,0,49,2366,22,16,6
188,300,34,2026-05-17T12:30:00Z,True,16,Telstar,1,2,False,29,0,0,0,1,0,0,0,0,0,0,0,1,49,2392,36,18,18
