type,gw,position,player_id,opta_id,name,player_position,points,is_top_player
gw,1,1,385,578503,Bernt Klaverboer,GK,8,False
gw,1,2,94,463214,Simon Janssen,DEF,15,True
gw,1,3,388,233375,Sam Kersten,DEF,9,False
gw,1,4,26,477625,Lucas Rosa,DEF,9,False
gw,1,5,101,494959,Noah Naujoks,MID,14,False
gw,1,6,280,246074,Melle Meulensteen,MID,13,False
gw,1,7,449,501776,Patrick Brouwer,MID,13,False
gw,1,8,98,582592,Irakli Yegoian,MID,13,False
gw,1,9,71,550228,Ro-Zangelo Daal,MID,11,False
gw,1,10,130,434030,Brynjólfur Willumsson,FWD,9,False
gw,1,11,129,597363,Thom van Bergen,FWD,9,False
gw,2,1,109,216139,Etienne Vaessen,GK,6,False
gw,2,2,413,609883,Marvin Young,DEF,10,False
gw,2,3,292,568125,Deveron Fonville,DEF,8,False
gw,2,4,63,646065,Mateo Chávez,DEF,8,False
gw,2,5,160,511167,Daan Rots,MID,13,True
gw,2,6,299,55882,Tjaronn Chery,MID,13,False
gw,2,7,190,573060,Rafik El Arguioui,MID,10,False
gw,2,8,66,219262,Peer Koopmeiners,MID,10,False
gw,2,9,432,482550,Nökkvi Thórisson,FWD,12,False
gw,2,10,129,597363,Thom van Bergen,FWD,12,False
gw,2,11,237,451341,Ayase Ueda,FWD,11,False
gw,3,1,313,219250,Jasper Schendelaar,GK,9,False
gw,3,2,321,59836,Nick Viergever,DEF,15,True
gw,3,3,419,630606,Nick Verschuren,DEF,10,False
gw,3,4,340,250676,Sergiño Dest,DEF,9,False
gw,3,5,234,597036,Gjivai Zechiël,MID,15,False
gw,3,6,351,45034,Ivan Perisic,MID,15,False
gw,3,7,190,573060,Rafik El Arguioui,MID,14,False
gw,3,8,275,486465,Søren Tengstedt,MID,13,False
gw,3,9,347,577717,Ruben van Bommel,MID,12,False
gw,3,10,84,441441,Jizz Hornkamp,FWD,12,False
gw,3,11,281,477408,Victor Edvardsen,FWD,8,False
gw,4,1,516,77318,Marc ter Stegen,GK,9,False
gw,4,2,340,250676,Sergiño Dest,DEF,16,False
gw,4,3,139,463005,Bart van Rooij,DEF,12,False
gw,4,4,63,646065,Mateo Chávez,DEF,11,False
gw,4,5,41,88935,Steven Berghuis,MID,17,True
gw,4,6,71,550228,Ro-Zangelo Daal,MID,15,False
gw,4,7,299,55882,Tjaronn Chery,MID,15,False
gw,4,8,348,231765,Guus Til,MID,15,False
gw,4,9,16,450074,Nigel Thomas,MID,13,False
gw,4,10,258,537472,Lequincio Zeefuik,FWD,11,False
gw,4,11,433,546601,Milan Zonneveld,FWD,9,False
season,,1,516,77318,Marc ter Stegen,GK,20,False
season,,2,63,646065,Mateo Chávez,DEF,33,False
season,,3,340,250676,Sergiño Dest,DEF,31,False
season,,4,413,609883,Marvin Young,DEF,20,False
season,,5,234,597036,Gjivai Zechiël,MID,34,True
season,,6,275,486465,Søren Tengstedt,MID,31,False
season,,7,71,550228,Ro-Zangelo Daal,MID,31,False
season,,8,299,55882,Tjaronn Chery,MID,30,False
season,,9,347,577717,Ruben van Bommel,MID,29,False
season,,10,129,597363,Thom van Bergen,FWD,28,False
season,,11,130,434030,Brynjólfur Willumsson,FWD,25,False
