player_id,opta_id,first_name,second_name,web_name,known_name,team_id,team_opta_id,team_name,team_short_name,element_type,position,status,news,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,total_points,now_cost,selected_by_percent
20,229595,Maarten,Paes,Paes,,1,215,Ajax,AJA,1,GK,a,,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0.9
21,596599,Joeri,Heerkens,Heerkens,,1,215,Ajax,AJA,1,GK,a,,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0.0
22,593028,Paul,Reverson,Reverson,,1,215,Ajax,AJA,1,GK,u,Verhuurd aan De Graafschap,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0.1
23,615379,Dies,Janse,Janse,,1,215,Ajax,AJA,2,DEF,a,,90,0,0,1,0,0,0,0,0,0,0,0,6,55,0.8
24,498040,Youri,Baas,Baas,,1,215,Ajax,AJA,2,DEF,a,,294,0,0,1,5,0,0,0,1,0,0,2,10,65,11.9
25,565013,Anton,Gaaei,Gaaei,,1,215,Ajax,AJA,2,DEF,a,,180,0,0,1,3,0,0,0,1,0,0,0,6,54,5.0
26,477625,Lucas,Rosa,Rosa,,1,215,Ajax,AJA,2,DEF,a,,180,0,0,1,2,0,0,0,1,0,0,3,9,55,4.3
27,650530,Jorthy,Mokio,Mokio,,1,215,Ajax,AJA,3,MID,a,,208,1,0,1,3,0,0,0,0,0,0,0,12,60,1.7
28,222702,Owen,Wijndal,Wijndal,,1,215,Ajax,AJA,2,DEF,a,,0,0,0,0,0,0,0,0,0,0,0,0,0,48,1.5
29,210906,Ko,Itakura,Itakura,,1,215,Ajax,AJA,2,DEF,u,Vertrokken naar Borussia Mönchengladbach,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0.7
30,240992,Josip,Sutalo,Sutalo,,1,215,Ajax,AJA,2,DEF,u,Vertrokken naar Lazio,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0.4
31,624879,Aaron,Bouwman,Bouwman,,1,215,Ajax,AJA,2,DEF,i,Kneuzing aan borstbeen en long,354,0,0,2,4,0,0,0,1,0,0,0,13,55,3.8
32,58877,Daley,Blind,Blind,,1,215,Ajax,AJA,2,DEF,i,Rugblessure,0,0,0,0,0,0,0,0,0,0,0,0,0,54,6.0
33,648146,Jinairo,Johnson,Johnson,,1,215,Ajax,AJA,2,DEF,a,,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0.1
34,550224,Tristan,Gooijer,Gooijer,,1,215,Ajax,AJA,2,DEF,u,Vertrokken naar Lommel SK,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0.6
35,230971,Caio Henrique,Oliveira Silva,C. Henrique,,1,215,Ajax,AJA,2,DEF,a,,351,0,1,2,5,0,0,0,0,0,0,0,17,65,8.8
37,549458,Oscar,Gloukh,Gloukh,,1,215,Ajax,AJA,3,MID,a,,249,0,1,2,3,0,0,0,0,0,0,0,12,93,5.5
38,109065,Davy,Klaassen,Klaassen,,1,215,Ajax,AJA,3,MID,a,,279,1,0,2,3,0,0,0,2,0,0,0,12,85,3.7
39,568465,Mika,Godts,Godts,,1,215,Ajax,AJA,3,MID,u,Vertrokken naar Paris Saint-Germain,29,0,1,0,0,0,0,0,0,0,0,0,4,124,4.4
40,492629,Youri,Regeer,Regeer,,1,215,Ajax,AJA,3,MID,u,Verhuurd aan Werder Bremen,150,0,0,1,2,0,0,0,1,0,0,0,4,65,0.2
41,88935,Steven,Berghuis,Berghuis,,1,215,Ajax,AJA,3,MID,a,,277,1,2,2,4,0,0,0,1,0,0,3,23,79,4.2
42,560116,Rayane,Bounida,Bounida,,1,215,Ajax,AJA,3,MID,i,Blessure,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0.1
43,492771,Kian,Fitz-Jim,Fitz-Jim,,1,215,Ajax,AJA,3,MID,u,Vertrokken naar Torino FC,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0.0
44,493014,Oliver,Edvardsen,Edvardsen,,1,215,Ajax,AJA,3,MID,a,,21,0,0,0,0,0,0,0,0,0,0,0,2,69,0.3
45,641213,Maher,Carrizo,Carrizo,,1,215,Ajax,AJA,3,MID,u,Verhuurd aan FC Kopenhagen,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0.2
46,650561,Pharell,Nash,Nash,,1,215,Ajax,AJA,3,MID,a,,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0.0
47,650628,Abdellah,Ouazane,Ouazane,,1,215,Ajax,AJA,3,MID,a,,200,1,0,1,3,0,0,0,1,0,0,2,13,46,11.3
48,505199,Amourricho,van Axel Dongen,Van Axel Dongen,,1,215,Ajax,AJA,3,MID,u,Contract ontbonden,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0.0
49,567732,Jan,Faberski,Faberski,,1,215,Ajax,AJA,3,MID,i,Knieblessure,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0.0
50,209914,Kasper,Dolberg,Dolberg,,1,215,Ajax,AJA,4,FWD,a,,159,0,0,1,2,0,0,0,0,0,0,0,5,84,2.2
51,593012,Don-Angelo,Konadu,Konadu,,1,215,Ajax,AJA,4,FWD,u,Verhuurd aan Lommel SK,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0.2
487,478011,Marcos Leonardo,Santos Almeida,M. Leonardo,,1,215,Ajax,AJA,4,FWD,a,,101,1,0,0,2,0,0,0,0,0,0,0,8,113,2.9
492,650643,Mohamed,Abdalla,Abdalla,,1,215,Ajax,AJA,3,MID,a,,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0.1
502,488213,Tolu,Arokodare,Tolu,,1,215,Ajax,AJA,4,FWD,a,,170,2,1,1,2,0,0,0,0,0,0,2,19,87,27.1
509,177591,Julian,Brandt,Brandt,,1,215,Ajax,AJA,3,MID,a,,209,1,0,1,4,0,0,0,0,0,0,0,12,95,22.0
516,77318,Marc,ter Stegen,Ter Stegen,,1,215,Ajax,AJA,1,GK,a,,360,0,0,2,5,0,0,0,0,0,15,4,21,56,25.2
541,669937,Jofre,Torrents,Torrents,,1,215,Ajax,AJA,2,DEF,a,,8,0,0,0,0,0,0,0,0,0,0,0,1,49,0.0
551,194282,Viktor,Tsygankov,Tsygankov,,1,215,Ajax,AJA,3,MID,a,,29,0,0,0,1,0,0,0,0,0,0,0,1,90,0.1
557,172912,Sofyan,Amrabat,S. Amrabat,,1,215,Ajax,AJA,3,MID,a,,36,0,0,0,1,0,0,0,0,0,0,0,1,65,0.2
571,535818,Simon,Adingra,Adingra,,1,215,Ajax,AJA,3,MID,i,Enkelblessure,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0.0
